Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot
IVE005.B0101	48.3936365002592	46.4310360162799	0.136790094679601	1.98805693657663	0.197210831567228	0.485206120589976	0.149671673102344	0.144150996635454	1.35471266412511	0.71952816618463	0.94698582506256	0.0530141749374405	0.0257651031469217	0.00115434701810266
SA-007	48.2069115409694	17.3513004419329	0.362240092733464	16.4601898138086	1.62283561544592	10.5411866985438	0.311526479750779	0.362240092733464	3.39056726798522	1.3910019560965	0.996612545951551	0.00338745404844943	0.0017333407709987	0.000657702168877224
KT34calc	47.7693891557996	16.2663006177076	0.411805078929307	23.8160603980782	1.16678105696637	4.32395332875772	0.960878517501716	0.480439258750858	3.15717227179135	1.64722031571723	0.999217005246872	0.000782994753127943	0.000474545540647878	0.00028673463017933
CS12	47.6732645972322	44.2493245851023	0.253625186083696	3.45426476263991	0.600981419198324	1.19644924739483	0.275679550090974	0.165407730054585	1.24882836191211	0.882174560291118	0.984802483841035	0.0151975161589652	0.00734771007483251	0.000625147789496625
ERR5729626	47.4437563690523	41.7672650309634	0.213608215097594	4.5461315356275	0.444853805753704	1.94246296151133	0.319824410127773	0.301011209532022	1.7527631888375	1.2683232734969	0.976337684925339	0.0236623150746605	0.0113318786116816	0.00117625536991024
2102	47.2149561470996	12.6096322511156	0.292352669641483	30.6277888905986	0.938605939375288	4.33912909678412	0.530850900138483	0.146176334820742	2.05416217879674	1.24634559162948	0.993071405108166	0.00692859489183436	0.00337258319704236	0.00222288637891895
ERR5729640	45.9588413899465	14.7942872748888	0.234549456198692	34.134978392533	0.420903818657927	1.71413883400003	0.321300624929716	0.247401481195881	1.31893906533648	0.854659662313043	0.992836552348763	0.0071634476512372	0.00339355084338526	0.0025462167337895
MID034.A0101	45.001833516685	20.5500550055006	0.432709937660433	16.993032636597	2.58159149248258	6.65933259992666	0.564723138980565	0.183351668500183	5.11917858452512	1.91419141914191	0.996692823302794	0.00330717669720634	0.00158916099029206	0.000662318450864847
CDM051.G0101	44.519940915805	6.82422451994092	0.147710487444609	41.0192023633678	0.768094534711965	3.44165435745938	0.51698670605613	0.251107828655835	1.34416543574594	1.16691285081241	0.997986052108408	0.00201394789159155	0.00099726975757343	0.000926714703643469
KT04calc	44.1506011760232	50.3378872538981	0.193078430798935	1.53877658485212	0.359827984670743	0.792791738583507	0.234034461574467	0.254512476962233	1.1292162770968	1.00927361553989	0.975733822666801	0.0242661773331989	0.0108173342157925	0.000473530201266026
ELR008.A0101	44.0325196028344	22.1040005331082	0.333192651991381	26.5598969324063	0.64639374486328	2.20795664052955	0.442035584975233	0.233234856393967	2.40120837868456	1.03956107421311	0.99260224029522	0.0073977597047803	0.00335986374779248	0.00206631139748548
CDM051.D0101	44.0278361029456	13.426120343152	0.161977323174756	37.7527146199532	0.605915171875937	1.3858059871618	0.335952966584678	0.20397144399784	1.26582278481013	0.833883256344112	0.995162859117437	0.0048371408825627	0.00223019716296865	0.00192658819274584
CS18	42.7522480912989	53.5112131577161	0.112736577116836	0.87267554590179	0.212782911259787	0.599687760998457	0.244951201588937	0.135165843768353	0.822504817865501	0.73603409248531	0.848668132669373	0.151331867330627	0.0648170641595243	0.00142102992979376
CS11	42.7151714077316	12.797836129346	0.428519328956966	31.1421103817165	1.32810600534889	4.84439581813761	0.513615365912959	0.200583515681984	4.93860928762461	1.09105275954291	0.996215947176707	0.00378405282329312	0.00171670728660499	0.00127868371155043
MID024.A0101	42.2884795504215	22.9316266000624	0.546362784889166	13.11270683734	1.70152981579769	10.8179831408055	0.437090227911333	0.3278176709335	6.07243209491102	1.76397127692788	0.998089758665684	0.0019102413343164	0.000908315776062216	0.000350640550716966
MID052.A0101	42.0645463780574	12.9952332577948	0.257872938970071	32.2653746971947	1.00023442994452	4.69641322184887	1.78166757833867	0.140657966710948	3.48519184183793	1.31280768930218	0.996257843556397	0.0037421564436033	0.00167412113275897	0.00130742079828382
2092	41.905924574925	8.69859386950638	0.10590104136024	44.5240336529976	0.45302112137436	1.69588750956051	0.27063599458728	0.14855562746367	1.16638230275931	1.03106430546567	0.98901003306627	0.01098996693373	0.00470678753737123	0.00499460059470586
CS32	40.6312747185884	21.1294493459081	0.235016732582902	29.021143900213	1.08533617280195	3.35184058411926	0.592485549132948	0.172649832674171	2.87800425920292	0.902798904776392	0.987248434974352	0.012751565025648	0.00528225186896514	0.00380145603991058
