Host	Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot
Chimpanzee	KNP001.A0102	1.38868514987042	7.71600410737861	0.141802356852966	11.8625006112171	2.27372744609066	10.0288494450149	46.1395530780891	0.860593614004205	14.1460075301941	5.44227666128796	0.993920766530667	0.00607923346933288	0.000184466568340443	0.000821534840823644
Chimpanzee	14C	1.30990415335463	15.9584664536741	0.159744408945687	27.7156549520767	4.88817891373802	24.5686900958467	7.02875399361022	1.75718849840256	12.9872204472843	3.62619808306709	0.997257692332978	0.0027423076670224	0.000135938777853649	0.000860411946049759
Chimpanzee	CDC009.A0101	1.24731182795699	14.3225806451613	0.774193548387097	17.2043010752688	13.3333333333333	32.989247311828	2.19354838709677	0.344086021505376	13.6774193548387	3.91397849462366	0.997832479786755	0.00216752021324519	0.000127047344044082	0.000473066814401125
Chimpanzee	18C	1.17848725091065	12.6740947075209	0.0428540818512963	42.6719520034283	3.65331047782301	20.8806513820441	6.0959931433469	0.632097707306621	10.5206770944932	1.64988215127491	0.997233911081909	0.00276608891809127	0.000132615428224265	0.00128097500561134
Chimpanzee	28C	1.17733627667403	17.1008094186902	0.117733627667403	28.0794701986755	4.04709345106696	24.4591611479029	8.1383370125092	0.779985283296542	12.3767476085357	3.7233259749816	0.997320730947825	0.00267926905217455	0.000131553268820046	0.000852545461358092
Chimpanzee	KNP009.A0102	0.871683117549032	3.40340981925394	0.12498397641328	4.92885527496475	1.47416997820792	5.51531854890399	74.9230867837457	0.36213305986412	6.16587616972183	2.23048327137546	0.987776915783122	0.0122230842168779	0.000206573550638893	0.000702610738539033
Chimpanzee	KNP007.A0102	0.708196721311475	9.86229508196721	0.0655737704918033	23.4754098360656	4.82622950819672	23.1606557377049	4.56393442622951	2.08524590163934	29.8885245901639	1.36393442622951	0.996465370604964	0.00353462939503565	0.000125048496672725	0.000930311278595874
Baboon	ANSP3271	88.0239949119948	5.31493321993203	0.278109158785653	2.45481196584413	0.385363705813949	0.847122755651562	0.284883130176914	0.242357643109554	1.14743548733079	1.02098802136059	0.945208093156823	0.0547919068431767	0.0483458139691743	0.00144547859991844
Baboon	ANSP11833	73.3099722587239	13.5275222660242	0.248211417725215	4.95692801868886	0.613228208497591	1.64257555847569	0.576726529420354	0.401518469849613	2.3507081325741	2.37260914002044	0.995552079816937	0.00444792018306327	0.00336266606148251	0.00032060847000066
Chimpanzee	SRR17523953	1.49253731343284	46.2686567164179	1.49253731343284	1.49253731343284	17.910447761194	4.47761194029851	1.49253731343284	1.49253731343284	23.8805970149254	0	0.995673511558827	0.00432648844117267	0.000164574454345861	0.000164574454345861
Chimpanzee	SRR17524141	0.87463556851312	24.9271137026239	0	0.145772594752187	11.6618075801749	2.62390670553936	44.4606413994169	0.728862973760933	13.8483965014577	0.728862973760933	0.949305350280816	0.0506946497191842	0.000543393437777121	0.000173898906296187
Chimpanzee	SRR17524129	0.503778337531486	42.191435768262	0	0.251889168765743	9.06801007556675	2.39294710327456	14.735516372796	0	29.9748110831234	0.881612090680101	0.965375893947322	0.0346241060526775	0.000274428745857317	0.000187214372928659
Chimpanzee	SRR17523926	0.466562986003111	17.7293934681182	0.15552099533437	0.933125972006221	5.7542768273717	1.08864696734059	7.93157076205288	0.466562986003111	65.3188180404355	0.15552099533437	0.957916093985208	0.0420839060147916	0.000296347928529354	0.000492695857058708
Chimpanzee	SRR17523970	0.451467268623025	43.6794582392777	0	0.677200902934537	7.11060948081264	3.38600451467269	7.2234762979684	0.677200902934537	36.6817155756208	0.112866817155756	0.948551187503629	0.0514488124963707	0.000332274548516346	0.00044841182277452
Chimpanzee	SRR17524558	0.436681222707424	45.8515283842795	0	1.09170305676856	6.76855895196507	2.40174672489083	12.6637554585153	0.218340611353712	30.5676855895197	0	0.971808445155731	0.0281915548442694	0.000223107226394189	0.000407768065985473
Chimpanzee	SRR17524695	0.432900432900433	19.9134199134199	0	0.432900432900433	4.76190476190476	1.2987012987013	6.06060606060606	0	67.0995670995671	0	0.975958786491128	0.0240412135088724	0.000204074517354426	0.000204074517354426
Chimpanzee	SRR17524378	0.404858299595142	23.4817813765182	0	0	10.1214574898785	3.23886639676113	29.5546558704453	0	32.7935222672065	0.404858299595142	0.980815533980583	0.0191844660194175	0.000177669902912621	0.0001
Chimpanzee	SRR17524354	0.385356454720617	18.111753371869	0	0.192678227360308	5.20231213872832	1.15606936416185	1.92678227360308	0.192678227360308	72.2543352601156	0.578034682080925	0.968169273229071	0.0318307267709292	0.000222661760196259	0.000161330880098129
Chimpanzee	SRR17524281	0.359712230215827	48.9208633093525	0	1.07913669064748	4.31654676258993	4.67625899280576	14.7482014388489	0	25.8992805755396	0	0.983517135064627	0.0164828649353729	0.000159290881062493	0.000277872643187478
Chimpanzee	SRR17524332	0.34965034965035	32.8671328671329	0	0.34965034965035	6.64335664335664	3.14685314685315	13.2867132867133	1.04895104895105	41.958041958042	0.34965034965035	0.981412881003445	0.0185871189965555	0.000164989926561383	0.000164989926561383
Chimpanzee	SRR17524538	0.336700336700337	27.946127946128	0	0.336700336700337	13.4680134680135	1.68350168350168	34.6801346801347	1.34680134680135	19.8653198653199	0.336700336700337	0.988090464351592	0.0119095356484081	0.000140099446627637	0.000140099446627637
Chimpanzee	SRR17523903	0.333333333333333	16.5	0.166666666666667	2	5.83333333333333	1.83333333333333	38.6666666666667	0.333333333333333	34.3333333333333	0	0.965529127886936	0.0344708721130645	0.000214902907043548	0.000789417442261289
Chimpanzee	SRR17524294	0.329308452250274	53.5675082327113	0	0.548847420417124	6.14709110867179	4.39077936333699	13.8309549945115	0	20.8562019758507	0.329308452250274	0.946911421911422	0.0530885780885781	0.000274825174825175	0.000391375291375291
Chimpanzee	SRR17524323	0.316455696202532	30.0632911392405	0	0.158227848101266	8.06962025316456	2.05696202531646	6.64556962025316	0.158227848101266	52.373417721519	0.158227848101266	0.953216374269006	0.0467836257309942	0.000248049448515804	0.000174024724257902
Chimpanzee	SRR17523964	0.204081632653061	69.6938775510204	0	0.408163265306122	2.95918367346939	2.3469387755102	3.57142857142857	0	20.8163265306122	0	0.959489066181638	0.0405109338183622	0.000182675375139515	0.000265350750279029
Chimpanzee	SRR17523838	0.1953125	24.21875	0.1953125	0.9765625	5.078125	2.1484375	22.8515625	0.5859375	43.75	0	0.970877652010693	0.0291223479893066	0.000156879585916615	0.000384397929583073
Chimpanzee	SRR17523882	0.161943319838057	0.890688259109312	0	0	1.45748987854251	0.0809716599190283	96.3562753036437	0.0809716599190283	0.890688259109312	0.0809716599190283	0.937767699672461	0.0622323003275384	0.000200781053162006	0.0001
