Full	Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot	Mitis_tot
Plaque - Industrial	SRS043772	31.5033900252816	58.7672374166858	4.38627614341531	2.82032866007814	0.170722247759136	0.262511491611124	0.220710756148012	0.119943691105493	0.542044932199494	1.20683463571593	0.909621172020426	0.0903788279795739	0.0285772690782764	0.00264941636686613	0.05322223324407
Plaque - Industrial	SRS049268	31.0088448373182	65.0551248789531	0.395506118369609	1.80845334451884	0.12868513311273	0.324302070872625	0.0989088950685371	0.0750879046331826	0.585426732329745	0.51966008482344	0.973483700798238	0.026516299201762	0.00832436744364502	0.000579649754385951	0.0173543432012283
Plaque - Industrial	SRS064493	30.9867351006288	64.6581647943344	0.487068250656844	1.85603845336918	0.115220446391942	0.220257267471464	0.128895600382904	0.0814690024993526	0.43935069205008	1.02680039221505	0.949593132667956	0.0504068673320437	0.0157220753898845	0.00103572854806731	0.0326976493395772
Plaque - Industrial	SRS051378	30.6347506440129	64.9823439173348	0.197338769366903	1.83776251535087	0.132730738536985	0.272284085129609	0.0868331934354106	0.0768060270506072	0.536608460860972	1.24254164892099	0.897430766135673	0.102569233864327	0.0315280975370549	0.00198535497656085	0.0667651890381741
Plaque - Industrial	SRS013252	30.4886899808709	63.0304153929511	1.1039107558361	0.624533809332868	0.115119452600536	0.313021432913816	3.30964833234885	0.0676919627651089	0.483472956989016	0.463495923391669	0.968737223457079	0.0312627765429211	0.00963317720025676	0.000295278691070594	0.0198082957425785
Plaque - Industrial	SRS024144	30.3708218508839	51.8569551627148	0.253997315359841	2.57175246289647	0.154153365998036	0.27297003732883	13.4362445394135	0.0751794108021193	0.486887477529182	0.521038377073363	0.965985157450066	0.034014842549934	0.0104320310955724	0.000974899814934969	0.0177415269857862
Plaque - Industrial	SRS020862	30.193310317034	65.7020906054297	1.49534634018291	0.835848994419771	0.109338022167113	0.227349076235372	0.0692686147838189	0.0557965052307055	0.432321730165788	0.87932979435085	0.884427866186072	0.115572133813928	0.0349988364604032	0.00106611325672996	0.0760415410589112
Plaque - Industrial	SRS019029	28.9195056716509	61.2877871595197	0.24113578004754	5.29048849072657	0.204507560293484	0.534924625991537	0.26784385695154	0.114463186731427	0.69631771928285	2.44302594880443	0.981492097283545	0.018507902716455	0.00545363697826478	0.00107938585599002	0.0114457182629116
Plaque - Industrial	SRS052876	26.746411678856	65.3166430238785	0.450016965574193	1.15006152575701	0.125095559107652	0.344380715661065	4.76164390281792	0.0806988998949361	0.515181122834845	0.509866605617853	0.957906894113159	0.0420931058868409	0.0113626294273145	0.000584278674041823	0.0276041435332306
Plaque - Industrial	SRS015574	26.6732352815475	44.7651874192159	0.465963524550872	26.0136785821957	0.179616579245564	0.439396442090113	0.324811460346319	0.0882489173913897	0.499461150262263	0.550400643154414	0.971727582088784	0.0282724179112161	0.0076426416528086	0.00745613260055418	0.0127586731478181
Plaque - Industrial	SRS045197	23.9965052980578	55.9493815821243	0.172196211085971	6.87679682191208	0.170752530796439	0.287043467222235	11.1128534838743	0.101704787293622	0.589121122287188	0.743644695346122	0.939957925883833	0.0600420741161673	0.014510528168992	0.00422969609881567	0.033699064918513
Plaque - Industrial	SRS019028	23.4570345862306	69.9223063724877	0.201496426484812	1.29520205674322	0.13719600097049	0.30034065081605	0.762955556546839	0.0857883003689387	0.540188853940115	3.29749119541128	0.943446176502308	0.0565538234976916	0.0133678246835915	0.000832595322547022	0.039649624186815
Plaque - Industrial	SRS014690	22.9430055314529	65.6696731611919	0.261136301149629	0.26717492035236	0.123529567098962	0.213662269153879	6.67112087645801	0.0943461437494272	0.472953976013284	3.28339725337969	0.810386876112178	0.189613123887822	0.0436077143072702	0.000606654199634937	0.124631957011128
Plaque - Industrial	SRS014477	20.8097987795653	54.0943819658077	11.9937969640426	3.54531242120127	0.196681627918705	0.383907408341318	7.18707448686268	0.100862373291644	0.553482273437894	1.13470169953099	0.961292097031741	0.0387079029682591	0.00815615956618614	0.00147250738845327	0.0210417196853776
Plaque - Industrial	SRS017227	20.1538277182814	70.4261107683841	0.467045688222963	6.5096434504868	0.233300934535196	0.402987790535113	0.147791777806379	0.128559614528272	0.760558087790387	0.770174169429441	0.986501598586363	0.0134984014136366	0.00282102832380161	0.000978886356191136	0.00960843903275682
Plaque - Industrial	SRS013950	19.9847796204912	33.8882539749417	0.161946944600979	43.6553663687545	0.233045603206286	0.441601668448522	0.450554832865487	0.0882150023436225	0.586432269311186	0.509803715036576	0.972639107703374	0.027360892296626	0.00556888246734347	0.0120463948201231	0.00937360128717228
Plaque - Industrial	SRS014691	19.6853514900364	51.268636784968	0.958955264464997	14.3675306327896	0.179222515085267	0.396029792268657	10.2867439390039	0.0989772352358957	0.496336392080371	2.26221595406683	0.940422340750884	0.0595776592491158	0.0118297113417622	0.0086610351992875	0.0306489241925756
Plaque - Industrial	SRS064329	1.48224997191853	56.7384517430548	33.9046618624307	0.258885738621643	0.236053670318481	0.379255048032011	0.124348693379152	0.109701173664268	0.615647389326558	6.15074470925379	0.869615049000731	0.130384950999269	0.00203314092961773	0.00043763712390296	0.0740979257383102
Plaque - Industrial	SRS017088	0.857932491398627	96.9450383793013	0.190537720418199	0.129930727540289	0.106207516566082	0.233608679823819	0.0878510838670201	0.0577355955842012	0.502323609893331	0.888834195607104	0.420055087176418	0.579944912823582	0.00507595095819472	0.000853589512793773	0.562374726102628
Buccal mucosa - Non-industrial	SRR1646039	45.5559045226131	48.4060929648241	0.475031407035176	2.22989949748744	0.208071608040201	0.361180904522613	1.04035804020101	0.160961055276382	0.612437185929648	0.950062814070352	0.904980971569286	0.0950190284307141	0.0433944687995523	0.00221920529801324	0.0461031713459565
Buccal mucosa - Non-industrial	SRR1646046	27.4838772244581	69.4418852737235	0.179411336856907	0.256994617659894	0.169713426756534	0.378218493914561	0.111525966154294	0.11637492120448	0.84856713378267	1.01343160548902	0.961605568393631	0.0383944316063691	0.0106542469299021	0.000198690029513905	0.0267667908050686
Buccal mucosa - Non-industrial	SRR1646038	14.5036911349449	78.3672900864853	2.13490686690388	0.558418700062047	0.346954022260773	0.65845288896205	0.27351120003039	0.626796500069644	0.867385055651932	1.66259354462918	0.866327681319909	0.133672318680091	0.0194933770618373	0.000846680573098504	0.104887560064611
Buccal mucosa - Non-industrial	SRR1646044	13.1415210240558	82.5664804026473	0.271469900527088	0.469623112590655	0.326952799904886	0.655887131930409	0.174374826615939	0.188245551460389	1.05813815241945	1.14730709784806	0.814523808648398	0.185476191351602	0.0244822633005026	0.000971320326028213	0.153290613269804
Buccal mucosa - Non-industrial	SRR1646043	9.6576339316654	86.8771224617091	0.336128629842678	0.346524360662555	0.211379860004158	0.408898745581814	0.12474876983852	0.152470718691524	0.654931041652228	1.23016148035207	0.868979488018023	0.131020511981977	0.0127580553738827	0.000554182108858368	0.113967996511881
Buccal mucosa - Non-industrial	SRR1646045	8.10399878363996	87.7907860726775	0.258476509046678	0.30409001064315	0.425726014900411	0.623384521818458	0.136840504789418	0.334499011707465	0.836247529268664	1.18595104150829	0.886404865154369	0.113595134845632	0.00930823039579842	0.000445524592712886	0.0998529499162103
Buccal mucosa - Non-industrial	SRR1646040	5.50046034460082	90.2446402735762	0.601078521636196	0.445876627646982	0.249901354728397	0.69314744179929	0.132842299092464	0.159147704853347	0.797053794554781	1.17585163751151	0.911668133091732	0.0883318669082684	0.00496052433690802	0.000494002331471023	0.0798453745404759
Buccal mucosa - Non-industrial	SRR1646030	4.82103099845864	91.8068162356568	0.219215619112862	0.198664154821031	0.186675800650796	0.518924473368728	0.128446651823942	0.183250556602158	0.82548381572187	1.11149169378318	0.815229815001852	0.184770184998148	0.00901180949305575	0.000467236199358603	0.169807445713942
Buccal mucosa - Non-industrial	SRR1646033	4.6110474848031	91.5936921857105	0.318914633071976	0.399964760814025	0.213197075147564	0.678354330014977	0.218482953043785	0.232578627433706	0.62020967315655	1.11355827680381	0.814016782363762	0.185983217636238	0.00868032786885246	0.000844262295081967	0.170539344262295
Buccal mucosa - Non-industrial	SRR1646031	3.63773965691221	92.6589303733602	0.236413435202537	0.543462591898515	0.255874297246648	0.597520542021047	0.108836672913363	0.164336168372495	0.809427706501369	0.987458555571573	0.902350531029728	0.0976494689702721	0.00365408268823012	0.000630964602125126	0.0906280562681639
