Secondary_sample_accession,Classified,Unclassified
SRS475983,61259,34657
JAE010.A0101,45140347,14754699
SRR17523827,62813,206
MID059.A0101,5367143,7548955
SRS476305,58574,25162
SRR17524511,65328,205
SRS475678,48341,26924
SRR17524623,58890,453
HCLVMBCX2-3505-18-00-01_S18,2002678,5416404
SRS476127,205449,75909
SRR17524498,32038,117
VLC002.A0101,10920583,4772029
SRS475932,168268,45960
VLC008.A0101,29108981,6548174
SRS051930,31911739,6165422
SRR1646039,466603,348944
CMC021.B0201.SG1,9562236,2884654
ERR1474564,9111488,1904905
05C,1298375,3053999
Gb1-uv,8924294,4142532
SRR17524573,52802,163
RAP001.A0101,6598735,7201897
SRS475992,97437,50129
SRR1930121,51856410,16505435
SRS020226,43545720,8584497
SRR17524088,50352,247
NMU127.A0101,4334416,5733450
SRS476197,402375,121649
SRR17523895,70563,270
SRS475595,229423,81903
SRR17523830,65435,250
SIG037.A0101,1533416,9969049
SRS476079,583637,147469
SRR17524402,45336,166
SRS476038,94739,56231
SRR17524098,58734,232
ESA006.A0101,3824138,7369448
SRS476105,278939,89962
ARS006.A0101,3706255,20020851
SRR17523831,52295,186
PYK001.A0101,3184405,12024103
SRS475676,479402,134276
SRR6877393,4436091,3346136
SRR17524361,61507,383
SRS476005,69581,117607
SRR17523819,72231,283
ARS006.A0101,3706255,20020851
SRS476261,171108,48606
SRR17524496,42651,284
SRS475966,457858,114549
SRR17523835,57352,294
CDM043.X0101.SG1,3847802,6601576
SRS476012,526796,148594
JAE014.A0101,44359736,24083135
SRS014691,16465617,5379679
SRR1646047,314151,223434
CMC028.A0101.SG1,9471915,4265437
ERR1474574,2127029,649699
26C,3064853,6094154
MTM013.A0101,2503611,4571895
SRR17523889,58744,186
CS34,5287399,3518931
SRS013942,3867001,656343
SRR1929408,45270174,14510612
SRS019077,33300442,6362071
SRR17523904,66453,266
SRS475926,86307,43092
CDM047.H0101.SG1,6059212,8531312
SRR13263131,3155534,2893876
SRR17524503,10537,68
SRS475922,40120,33980
MID022.A0101,4965858,5995239
B61,4441121,4356772
SRR17524200,28922,265
SRS476052,133364,77988
GUE001.A0101,1602050,9137815
SRR17524526,44039,115
SRS476138,47928,39063
SRR17523883,71552,207
SRS476036,65207,34721
SRR17524583,40024,129
ZAF001.A0101,1236973,7167431
SRS475646,70683,53147
SRR17523844,65159,289
ERR5729626,14049841,36614899
SRS475543,72406,27109
SRR17523926,42645,184
SIG042.A0101,1759259,6762724
SRS476107,37052,27191
JAE012.A0101,48432658,14142555
SRS476175,31867,27224
MID072.A0101,4322957,6166890
SRS019120,4237124,877648
SRR1646026,113360,100991
CMC006.A0101.SG1,13681479,2630202
ERR1474582,9227364,3968226
EBO009.A0101,478977,3177321
DJA002.A0101,1544639,10378508
SRR17523905,24433,42
SRS475655,67075,38508
SRS023358,16848341,4428420
VLC003.A0101,20311882,5697191
SRS014477,4671966,2181150
SRS013506,9056931,3527275
SRR1646041,6307,7931
CMC025.B0201.SG1,13990290,4544316
ERR1474586,49446752,13147410
KNP007.A0102,2689173,6449250
OME009.A0101,1738813,5671060
BB01,2713320,8632439
GDC005.A0101,1916339,7819580
SRR17524597,31051,157
MID039.A0101,3534744,3391009
SRS476299,69612,52994
SRR1761698,38093576,12029526
SRS023841,15225682,3267786
SRS476011,50636,29414
MID048.A0101,3912518,4064664
CDC006.A0101,2968931,12090879
SRS476214,119938,38914
CDM045.I0101.SG1,4354858,6242448
EBO001.A0101,2189535,13496056
SRS476000,90514,59240
RIG001.A0101,5283326,20673560
SRS476294,35893,26688
CDC006.A0101,2968931,12090879
SRS475601,120992,40583
EBO001.A0101,2189535,13496056
SRS476852,5692286,3997838
ERR5729639,7091971,20238989
SRS476266,239618,92547
CS48,256363,275598
SRS476177,46307,24452
MID070.A0101,5040530,5044948
MTM003.A0101,14844482,19617327
SRS014468,1122393,395089
MID084.A0101,5898271,7267001
SRS476054,90806,17989
SRR1646027,142227,138823
CMC043.B0101.SG1,12957651,2125304
ERR1474585,47720739,10280169
KNP003.A0102,2605571,7768496
LOB001.A0101,2211940,6545680
SRR17523838,47182,182
SRS476150,73528,29018
ERR1883422,411351,346101
SRS019980,40223900,6506327
SRS475679,169517,43830
MTM003.A0101,14844482,19617327
SRS475622,33074,22057
CDM049.A0101.SG1,3680448,6186379
SRS476124,67062,44112
ERR5729634,11643990,29498480
SRS475927,51846,37439
FUT024.B0101,2058100,6294943
SRS475919,29390,21235
CS36,2806128,4308725
SRS475976,629624,205152
SRS476399,62093,37230
SRR11176636,9908281,7340098
SRR13263130,10084912,12679029
SRS014692,7654996,2588776
CS45,2619648,1691092
KT25calc,1828217,3581028
SRS476866,678743,581186
WAL001.A0101,2118900,12726459
SPM001.A0101,783388,1515723
SRS475943,259228,77793
SRR1646043,401054,320971
CMC042.B0101.SG1,11851210,3176828
ERR1474568,52782214,9990800
20C,3145902,5554108
Gb2-reg,4912778,3229750
SRR17524364,31559,242
SRS476082,79703,23705
ERS9656260,5646062,20825363
SRR1761710,30074486,9964870
DJA007.A0101,2442034,14908173
SRS053917,83928000,25527558
WAL001.A0101,2118900,12726459
SRS475916,63423,23376
SRS475719,167708,73999
KT22calc,1995962,2495894
SRS476115,325503,127518
OAK004.A0101,3744034,9664277
SRS475573,25331,36435
ERR5729650,7774754,16368244
SRS476260,473819,73328
HCLVMBCX2-3505-26-00-01_S26,2581188,4543295
SRS476007,74839,59952
SRS476272,291075,97482
GDC002.A0101,2450508,8803815
MID049.A0101,5596482,4521937
SRS476110,129358,70442
GDC002.A0101,2450508,8803815
SRS475663,68533,31250
CDM048.K0101.SG1,4282832,6520776
SRS475700,180264,64416
SRR1646046,830217,561785
CMC003.B0101.SG1,13023910,2985399
ERR1474571,12263060,3210431
IBA001.A0101,3259541,9697594
SRR17524516,59615,196
DJA007.A0101,2442034,14908173
SRS475668,124752,69932
ERS9656261,3752274,15494265
SRS015899,43208741,7548880
MID086.A0101,1978853,2130406
SRS476113,27009,20476
SRS475535,156482,63141
SRS476355,115800,63271
MAWB12,4068677,4177613
SRS476301,659275,179829
ERR5729655,8208946,19404961
SRS475699,299043,107470
CDM049.W0101.SG1,1849421,8099720
SRS475571,46072,28069
SRS476018,30522,29515
ERR5729620,8801797,31535612
SRS475697,195594,71221
KT28calc,1629973,3527194
SRS475718,58272,34205
MID044.A0101,4264079,4237563
EBO009.A0101,478977,3177321
SRS476004,81911,47289
BSQ001.A0101,826973,10008994
CMC034.B0101.SG1,11178785,2753285
ERR1474581,3268244,1213439
Gb1-wash,23956542,16137096
SRR17524596,30955,140
SRS475579,55101,29024
ERS9656248,10742299,87295001
SRR1761677,31617309,5703314
SRS021960,14045258,3110835
SRS476178,124528,49919
EBO009.A0101,478977,3177321
MTS003.A0101,3432590,4085291
SRS475669,235665,74688
HCLVMBCX2-3505-22-00-01_S22,1848427,3725739
KNP003.A0102,2605571,7768496
SRS475588,169606,449108
MTS003.A0101,3432590,4085291
ARS010.A0101,2149674,18105875
SRS475999,390335,81609
KNP003.A0102,2605571,7768496
SRS476017,39067,23369
ARS010.A0101,2149674,18105875
SRS476186,45469,19550
SRS475724,121297,45849
SRS476181,108772,45723
CS16,7234913,3084020
CDM049.P0101.SG1,3335404,6266651
SRR5297133,892057,2412507
CMC006.B0201.SG1,10956596,2006181
ERR1474579,11650006,3637196
CDC005.A0101,841995,3678857
MTS001.A0101,1648301,4869935
SRR17524589,43187,220
SIG041.A0101,3331576,12906741
SRS475964,479949,182391
ERR1883421,166487,460123
CS01,4712829,4555691
KT27calc,1447764,2674184
FDM001.A0101,1120371,3756278
CDM046.F0101.SG1,3273721,7564278
CMC032.A0101.SG1,2756964,686531
CDC007.A0101,2498758,13312853
Gb2-uv,6378149,5484182
SRR17524095,26837,162
SIG032.A0101,4257645,7583511
SRS476204,431447,116028
ERS9656252,10560914,12604027
SRS016575,33919100,8264728
FDM001.A0101,1120371,3756278
CDM046.V0101.SG1,3736690,6255047
CDM048.W0101.SG1,3361133,6602901
MTK001.A0101,1738525,6516257
