Library_ID	Clade	Percent
SRS042984	Sanguinis	74.236884309099
SRS053584	Sanguinis	73.4369395520484
SRS024381	Sanguinis	72.0889807820442
SRS016331	Sanguinis	71.671236376308
SRS015158	Sanguinis	71.0475324668802
SRS011098	Sanguinis	70.6934422555711
SRS023841	Sanguinis	70.2449894196831
SRS015440	Sanguinis	70.2294568825967
SRS017814	Sanguinis	68.8490410640986
SRS018337	Sanguinis	68.6515943040575
SRS015470	Sanguinis	68.5595651817371
SRS021477	Sanguinis	67.1443927461677
SRS016043	Sanguinis	67.1323574384799
SRS015044	Sanguinis	66.9188478471546
SRS019980	Sanguinis	66.8182975881479
SRS024021	Sanguinis	66.795018100882
SRS017445	Sanguinis	66.4896584606025
SRS014578	Sanguinis	66.1545130265058
SRS023595	Sanguinis	65.85107515483
SRS018665	Sanguinis	64.5273774676545
SRS043755	Sanguinis	64.1430374716567
SRS018157	Sanguinis	64.111296714961
SRS022149	Sanguinis	63.6146307280159
SRS013723	Sanguinis	62.997418475934
SRS024087	Sanguinis	62.5985054722201
SRS011255	Sanguinis	62.5934049194745
SRS075410	Sanguinis	62.279820017115
SRS017511	Sanguinis	62.1402224283583
SRS019077	Sanguinis	61.9773721155746
SRS064449	Sanguinis	61.9382275865162
SRS019906	Sanguinis	61.8190052548705
SRS015650	Sanguinis	61.6494842404275
SRS065099	Sanguinis	61.0278011096892
SRS018778	Sanguinis	60.9000366613712
SRS011152	Sanguinis	60.7715932854971
SRS051930	Sanguinis	60.6100434784522
SRS054430	Sanguinis	60.3555810212615
SRS063999	Sanguinis	60.1193031400415
SRS063603	Sanguinis	59.7992439777403
SRS017304	Sanguinis	59.0521053839954
SRS019333	Sanguinis	59.026724206705
SRS051244	Sanguinis	58.8743497940305
SRS053630	Sanguinis	58.7482073156307
SRS015378	Sanguinis	58.3633592551773
SRS015215	Sanguinis	58.2392397852784
SRS011343	Sanguinis	57.9595074118576
SRS053917	Sanguinis	57.7470112715126
SRS022083	Sanguinis	57.6269341158069
SRS055401	Sanguinis	56.9555775033695
SRS014894	Sanguinis	56.507359674228
SRS020226	Sanguinis	56.1118696159187
SRS016092	Sanguinis	55.0810848194993
SRS015947	Sanguinis	54.4692586532887
SRS043018	Sanguinis	54.1436234256947
SRS024447	Sanguinis	52.7335994109118
SRS023964	Sanguinis	52.4824027635249
SRS015063	Sanguinis	51.9629463367189
SRS054653	Sanguinis	51.9473036197981
SRS011126	Sanguinis	51.5816959538158
SRS024561	Sanguinis	51.1727298006359
SRS022602	Sanguinis	51.1237163123905
SRS047634	Sanguinis	50.1238935543448
SRS013533	Sanguinis	49.981879415365
