Library_ID	Total
SRS475650	1482
SRS475653	2606
SRS475654	1436
SRS475655	1885
SRS475660	6705
SRS475663	2332
SRS475665	2514
SRS475668	3062
SRS475669	4211
SRS475670	3250
SRS475672	2585
SRS475676	6163
SRS475677	2528
SRS475678	1662
SRS475679	2924
SRS475683	1620
SRS475685	2654
SRS475686	1757
SRS475687	2938
SRS475691	2132
SRS475696	2006
SRS475697	3452
SRS475699	4204
SRS475700	3643
SRS475704	2527
SRS475706	3889
SRS475707	2778
SRS475708	3714
SRS475710	2372
SRS475711	3597
SRS475718	2446
SRS475719	3143
SRS475720	4745
SRS475724	2844
SRS475725	3850
SRS475916	1725
SRS475917	749
SRS475918	2123
SRS475919	1537
SRS475922	2232
SRS475923	3639
SRS475926	2431
SRS475927	2191
SRS475930	1698
SRS475932	2779
SRS475934	3547
SRS475935	2371
SRS475937	1770
SRS475939	2490
SRS475940	2318
SRS475943	3470
SRS475950	2989
SRS475951	5322
SRS475952	1666
SRS475954	6184
SRS475955	3531
SRS475956	4422
SRS475957	1493
SRS475960	4418
SRS475961	1507
SRS475963	2503
SRS475964	6619
SRS475965	2294
SRS475966	5080
SRS475969	6122
SRS475970	2211
SRS475971	2155
SRS475972	2247
SRS475973	3079
SRS475975	2213
SRS475976	9057
SRS475977	4798
SRS475982	2089
SRS475983	1934
SRS475985	1676
SRS475992	2807
SRS475996	4837
SRS475999	3773
SRS476000	2798
SRS476002	12604
SRS476004	2540
SRS476005	2467
SRS476006	2649
SRS476007	2572
SRS476008	1995
SRS476009	4081
SRS476011	2143
SRS476012	6938
SRS476016	3163
SRS476017	1710
SRS476018	1578
SRS476025	3074
SRS476026	2246
SRS476027	4136
SRS476036	1880
SRS476038	2660
SRS476045	1758
SRS476046	4438
SRS476048	4225
SRS476049	2422
SRS476052	3078
SRS476053	2283
SRS476054	1631
SRS476055	1984
SRS476056	1869
SRS476057	3693
SRS476059	2019
SRS476071	3014
SRS476072	1760
SRS476073	2113
SRS476075	7594
SRS476079	5829
SRS476080	1425
SRS476081	1929
SRS476082	1941
SRS476086	1868
SRS476087	1618
SRS476088	2798
SRS476089	1922
SRS476091	5376
SRS476102	5765
SRS476105	3384
SRS476107	1579
SRS476109	1432
SRS476110	3139
SRS476111	4881
SRS476112	3605
SRS476113	1519
SRS476115	4758
SRS476116	3539
SRS476122	2653
SRS476123	2019
SRS476124	2493
SRS476127	4504
SRS476137	2601
SRS476138	1717
SRS476140	3196
SRS476146	2532
SRS476150	2092
SRS476151	3225
SRS476157	4164
SRS476161	6727
SRS476162	3459
SRS476165	3173
SRS476168	5564
SRS476170	5111
SRS476171	4226
SRS476172	2764
SRS476174	4628
SRS476175	1555
SRS476177	1610
SRS476178	2668
SRS476180	2147
SRS476181	2682
SRS476186	1507
SRS476190	2623
SRS476197	4964
SRS476200	4296
SRS476201	5550
SRS476202	5097
SRS476204	4490
SRS476206	2865
SRS476207	2816
SRS476208	4979
SRS476210	2187
SRS476214	2935
SRS476260	3874
SRS476261	2563
SRS476263	3618
SRS476265	3484
SRS476266	3765
SRS476268	2517
SRS476272	4840
SRS476275	1645
SRS476279	3463
SRS476281	1999
SRS476282	4521
SRS476283	2494
SRS476284	3426
SRS476285	14713
SRS476286	2702
SRS476294	1750
SRS476297	2963
SRS476299	2141
SRS476301	6839
SRS476304	1907
SRS476305	1947
SRS476310	4233
SRS476311	2181
SRS476330	24716
SRS476336	2804
SRS476340	5253
SRS476353	2859
SRS476355	9014
SRS476399	2159
SRS476610	13949
SRS476701	2457
SRS476757	4208
SRS476787	3339
SRS476790	4990
SRS476827	3663
SRS476852	29362
SRS476865	2922
SRS476866	9573
CMC001.A0101	37273
CMC001.A0201	38511
CMC001.B0201	31985
CMC002.A0201	34175
CMC002.B0201	17876
CMC003.A0201	32631
CMC003.B0101	30002
CMC004.A0101	33662
CMC004.B0201	35450
CMC005.A0202	33518
CMC005.B0101	27087
CMC006.A0101	30997
CMC006.B0201	26691
CMC007.B0101	30555
CMC008.A0101	30191
CMC008.B0201	31190
CMC009.A0202	27422
CMC009.B0101	30394
CMC010.A0101	34913
CMC010.B0201	29849
CMC011.A0201	38295
CMC011.B0101	36270
CMC012.A0201	32911
CMC012.B0201	27533
CMC013.A0201	35517
CMC013.B0101	27180
CMC014.A0101	23915
CMC015.A0201	34604
CMC015.B0201	29759
CMC016.A0101	24680
CMC016.B0101	32959
CMC017.A0201	33249
CMC017.B0201	35508
CMC018.A0101	34523
CMC018.B0101	38638
CMC020.A0101	35859
CMC020.B0101	32098
CMC021.A0201	36585
CMC021.B0201	31826
